,City,Lat,Lng,Max Temp,Humidity,Wind,Cloudiness,Country,Date
0,Ixtapa,20.7,-105.2,26.24,84,0.95,100,MX,1666672998
1,Madang,-5.2246,145.7966,30.15,61,3.38,94,PG,1666672999
2,Esperance,-33.8667,121.9,16.79,77,5.95,100,AU,1666672965
3,Ribeira Grande,38.5167,-28.7,18.21,83,5.81,90,PT,1666672999
4,Cabedelo,-6.9811,-34.8339,25.37,77,5.21,5,BR,1666673000
5,Bluff,-46.6,168.3333,14.33,65,5.14,0,NZ,1666673000
6,Saint-Pierre,-21.3393,55.4781,25.51,61,2.57,0,RE,1666672831
